candidate_id,run_id,source_split,bt_start,bt_end,split_summary_hash,correlation_id,trader_id,symbol,side,timestamp,atr,adx,ema_stack_score,regime,regime_ltf,bos_bull,bos_bear,fvg_bull,fvg_bear,fvg_bull_top,fvg_bull_bottom,fvg_bear_top,fvg_bear_bottom,sweep_bull,sweep_bear,sweep_low_level,sweep_high_level,ob_bull,ob_bear,ob_high,ob_low,range_valid,range_side,range_support,range_resist,range_width_atr,pullback_valid,pullback_side,pullback_level,last_swing_high,last_swing_low,sr_dist_resist_atr,sr_dist_support_atr,sr_in_supply_zone,sr_in_demand_zone,sr_resist_strength,sr_support_strength,rsi,pullback_depth,candle_body_ratio,range_size,breakout_strength,distance_from_mean_atr,volatility_stable,range_age_bars,fakeout_prob,p_win,p_bull,p_bear,sentiment_score,ensemble_score,ev,rr_ratio,confidence,expected_r_long,expected_r_short,selected_expected_r,rejection_reason,pm_open_positions_seen,hypothetical_pnl,hypothetical_rr,hypothetical_exit_reason,hypothetical_exit_ts,tp_hit,sl_hit,pnl,exit_reason,outcome_ts,executed
f487f4d3-1034-4c05-aebe-0da36e3eebf2,bt_20260511_014731,combined_eval,2022-08-05,2025-08-05,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_014731_00005695,ml_trader,GBPUSD,sell,2022-08-19T10:30:00+00:00,0.001525,34.209599,-2.0,BIAS_DOWN,TRENDING,0.0,1.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.0,,nan,nan,0.0,0.0,,nan,1.18572,1.18151,3.272029,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,0.0,0.217163,0.782837,0.0,0.783,0.0,2.89,0.783,-0.608099,0.325184,0.325184,,0.0,-100.099988,-1.001,sl_full,2022-08-19T13:00:00+00:00,,,,,,1
f487f4d3-1034-4c05-aebe-0da36e3eebf2__outcome,bt_20260511_014731,combined_eval,2022-08-05,2025-08-05,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_014731_00005695,ml_trader,GBPUSD,sell,2022-08-19T10:30:00+00:00,0.001525,34.209599,-2.0,BIAS_DOWN,TRENDING,0.0,1.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.0,,nan,nan,0.0,0.0,,nan,1.18572,1.18151,3.272029,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,0.0,0.217163,0.782837,0.0,0.783,0.0,2.89,0.783,-0.608099,0.325184,0.325184,,0.0,-100.099988,-1.001,sl_full,2022-08-19T13:00:00+00:00,0,1,-100.1,sl_full,2022-08-19T13:00:00+00:00,1
6c486b99-cbcd-4dcf-8a6b-5cf4432f809e,bt_20260511_014731,combined_eval,2022-08-05,2025-08-05,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_014731_00005791,ml_trader,GBPUSD,sell,2022-08-19T14:30:00+00:00,0.001065,18.464466,-2.0,BIAS_DOWN,TRENDING,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.0,,nan,nan,0.0,1.0,sell,1.18338,1.18338,1.17916,3.39924,0.554114,0.0,0.0,1.0,1.0,,,,,,,,,,0.0,0.10614,0.89386,0.0,0.792907,0.0,2.96,0.792907,-0.661078,0.694314,0.694314,,0.0,204.651128,2.046511,tp2,2022-08-22T10:00:00+00:00,,,,,,1
6c486b99-cbcd-4dcf-8a6b-5cf4432f809e__outcome,bt_20260511_014731,combined_eval,2022-08-05,2025-08-05,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_014731_00005791,ml_trader,GBPUSD,sell,2022-08-19T14:30:00+00:00,0.001065,18.464466,-2.0,BIAS_DOWN,TRENDING,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.0,,nan,nan,0.0,1.0,sell,1.18338,1.18338,1.17916,3.39924,0.554114,0.0,0.0,1.0,1.0,,,,,,,,,,0.0,0.10614,0.89386,0.0,0.792907,0.0,2.96,0.792907,-0.661078,0.694314,0.694314,,0.0,204.651128,2.046511,tp2,2022-08-22T10:00:00+00:00,1,0,294.3641,be_or_trail,2022-08-22T12:00:00+00:00,1
85506215-a53b-4451-82b5-4015bae9096b,bt_20260511_014731,combined_eval,2022-08-05,2025-08-05,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_014731_00005815,ml_trader,GBPUSD,sell,2022-08-19T15:30:00+00:00,0.000926,19.656668,-2.0,BIAS_DOWN,TRENDING,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.0,,nan,nan,0.0,1.0,sell,1.18338,1.18338,1.17916,1.295207,0.723262,0.0,0.0,1.0,1.0,,,,,,,,,,0.0,0.074341,0.925659,0.0,0.728417,0.0,2.55,0.728417,-0.694447,0.550249,0.550249,,1.0,-100.100007,-1.001,sl_full,2022-08-22T01:45:00+00:00,,,,,,1
85506215-a53b-4451-82b5-4015bae9096b__outcome,bt_20260511_014731,combined_eval,2022-08-05,2025-08-05,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_014731_00005815,ml_trader,GBPUSD,sell,2022-08-19T15:30:00+00:00,0.000926,19.656668,-2.0,BIAS_DOWN,TRENDING,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.0,,nan,nan,0.0,1.0,sell,1.18338,1.18338,1.17916,1.295207,0.723262,0.0,0.0,1.0,1.0,,,,,,,,,,0.0,0.074341,0.925659,0.0,0.728417,0.0,2.55,0.728417,-0.694447,0.550249,0.550249,,1.0,-100.100007,-1.001,sl_full,2022-08-22T01:45:00+00:00,0,1,-100.1,sl_full,2022-08-22T01:45:00+00:00,1
96e6b52f-ecb3-4a04-aa66-85c917f36bb1,bt_20260511_014731,combined_eval,2022-08-05,2025-08-05,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_014731_00005821,ml_trader,GBPUSD,sell,2022-08-19T15:45:00+00:00,0.000966,20.218229,-2.0,BIAS_DOWN,TRENDING,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.0,,nan,nan,0.0,1.0,sell,1.18338,1.18338,1.17916,0.434936,1.501719,1.0,0.0,1.0,1.0,,,,,,,,,,0.0,0.068542,0.931458,0.0,0.649537,0.0,2.25,0.649537,-0.773094,0.748616,0.748616,,2.0,200.657143,2.006571,tp2,2022-08-22T04:00:00+00:00,,,,,,1
96e6b52f-ecb3-4a04-aa66-85c917f36bb1__outcome,bt_20260511_014731,combined_eval,2022-08-05,2025-08-05,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_014731_00005821,ml_trader,GBPUSD,sell,2022-08-19T15:45:00+00:00,0.000966,20.218229,-2.0,BIAS_DOWN,TRENDING,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.0,,nan,nan,0.0,1.0,sell,1.18338,1.18338,1.17916,0.434936,1.501719,1.0,0.0,1.0,1.0,,,,,,,,,,0.0,0.068542,0.931458,0.0,0.649537,0.0,2.25,0.649537,-0.773094,0.748616,0.748616,,2.0,200.657143,2.006571,tp2,2022-08-22T04:00:00+00:00,1,0,115.2988,be_or_trail,2022-08-22T09:15:00+00:00,1
7dc5392f-bffc-4781-a410-9c09f59d3939,bt_20260511_014731,combined_eval,2022-08-05,2025-08-05,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_014731_00006053,ml_trader,EURUSD,sell,2022-08-22T07:30:00+00:00,0.000904,31.346397,-2.0,BIAS_DOWN,TRENDING,0.0,0.0,0.0,1.0,nan,nan,1.00064,1.00038,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.0,,nan,nan,0.0,0.0,,nan,1.00182,0.9989,1.680449,1.547924,0.0,0.0,1.0,1.0,,,,,,,,,,0.0,0.085999,0.914001,0.0,0.914,0.0,4.0,0.914,-0.556128,0.3691,0.3691,,2.0,204.834753,2.048348,tp2,2022-08-22T10:15:00+00:00,,,,,,1
7dc5392f-bffc-4781-a410-9c09f59d3939__outcome,bt_20260511_014731,combined_eval,2022-08-05,2025-08-05,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_014731_00006053,ml_trader,EURUSD,sell,2022-08-22T07:30:00+00:00,0.000904,31.346397,-2.0,BIAS_DOWN,TRENDING,0.0,0.0,0.0,1.0,nan,nan,1.00064,1.00038,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.0,,nan,nan,0.0,0.0,,nan,1.00182,0.9989,1.680449,1.547924,0.0,0.0,1.0,1.0,,,,,,,,,,0.0,0.085999,0.914001,0.0,0.914,0.0,4.0,0.914,-0.556128,0.3691,0.3691,,2.0,204.834753,2.048348,tp2,2022-08-22T10:15:00+00:00,1,0,393.0589,be_or_trail,2022-08-22T15:00:00+00:00,1
