run_id,dimension,bucket,trades,wins,losses,win_rate,net_pnl,gross_profit,gross_loss,profit_factor,sl_full,avg_confidence,avg_p_bull,avg_p_bear,avg_adx,avg_atr,avg_ema_stack
bt_20260511_072836,symbol,EURJPY,7,1,6,0.1429,-481.7767,118.8226,600.5993,0.1978,6,0.794095,0.304967,0.695033,25.868389,0.11261748,0.571429
bt_20260511_072836,symbol,EURUSD,4,1,3,0.25,84.6699,384.9699,300.3,1.282,3,0.78525,0.5448,0.4552,27.091364,0.00088192,0.5
bt_20260511_072836,symbol,GBPJPY,9,0,9,0.0,-900.8984,0,900.8984,0.0,9,0.799359,0.829156,0.170844,30.75569,0.13645045,0.888889
bt_20260511_072836,symbol,GBPUSD,4,1,3,0.25,-176.2101,124.0899,300.3,0.4132,3,0.8205,0.616928,0.383072,21.311048,0.00111792,1.5
bt_20260511_072836,symbol,USDJPY,8,2,6,0.25,-26.4168,574.1849,600.6017,0.956,6,0.787578,0.810913,0.189087,33.272488,0.11940601,1.25
bt_20260511_072836,symbol,XAUUSD,11,2,9,0.1818,-469.8696,431.0137,900.8833,0.4784,9,0.757788,0.387934,0.612066,28.839487,2.22775759,0.0
bt_20260511_072836,side,buy,28,4,24,0.1429,-1319.1409,1083.2447,2402.3856,0.4509,24,0.790852,0.807077,0.192923,30.133119,0.33694622,1.285714
bt_20260511_072836,side,sell,15,3,12,0.2,-651.3608,549.8363,1201.1971,0.4577,12,0.777889,0.160034,0.839966,26.078434,1.20336421,-0.4
bt_20260511_072836,regime,BIAS_DOWN,15,3,12,0.2,-651.3608,549.8363,1201.1971,0.4577,12,0.777889,0.160034,0.839966,26.078434,1.20336421,-0.4
bt_20260511_072836,regime,BIAS_UP,28,4,24,0.1429,-1319.1409,1083.2447,2402.3856,0.4509,24,0.790852,0.807077,0.192923,30.133119,0.33694622,1.285714
bt_20260511_072836,confidence_bin,0.60-0.65,5,3,2,0.6,489.3558,689.5488,200.193,3.4444,2,0.637932,0.380383,0.619617,32.819184,1.09724899,0.0
bt_20260511_072836,confidence_bin,0.65-0.70,3,1,2,0.3333,-76.1073,124.0899,200.1972,0.6198,2,0.686667,0.686686,0.313314,22.111778,1.29851558,0.666667
bt_20260511_072836,confidence_bin,0.70-0.75,8,0,8,0.0,-800.8087,0,800.8087,0.0,8,0.733032,0.568062,0.431938,32.894369,0.74528084,0.75
bt_20260511_072836,confidence_bin,0.75-0.80,9,1,8,0.1111,-654.7959,146.0037,800.7996,0.1823,8,0.774778,0.595486,0.404514,27.757584,0.42123678,0.666667
